exec_time,num_rsus,rsu_radius,grid_size,algorithm
11.968953667000001,100,75,100,DensityBased
12.487965875,200,75,100,DensityBased
13.427217582999997,300,75,100,DensityBased
14.650007791999997,400,75,100,DensityBased
15.967373875000007,500,75,100,DensityBased
17.68741412499999,600,75,100,DensityBased
19.574930584,700,75,100,DensityBased
23.20724016700001,800,75,100,DensityBased
26.697708457999994,900,75,100,DensityBased
29.703390500000012,1000,75,100,DensityBased
11.242868084000001,100,75,100,DensityBased
12.285050083999998,200,75,100,DensityBased
13.376614,300,75,100,DensityBased
14.580390667000003,400,75,100,DensityBased
15.970685957999997,500,75,100,DensityBased
17.563074125,600,75,100,DensityBased
19.743765917000005,700,75,100,DensityBased
23.320892333000018,800,75,100,DensityBased
27.588476333000017,900,75,100,DensityBased
31.274880083,1000,75,100,DensityBased
11.801973417,100,100,70,DensityBased
11.811876291999999,200,100,70,DensityBased
12.837871624999998,300,100,70,DensityBased
14.2263065,400,100,70,DensityBased
15.614668374999994,500,100,70,DensityBased
18.142744250000007,600,100,70,DensityBased
20.034515791000004,700,100,70,DensityBased
22.452465000000018,800,100,70,DensityBased
22.49945229100001,900,100,70,DensityBased
22.702148666,1000,100,70,DensityBased
11.202667499999999,100,200,36,DensityBased
12.714398875,200,200,36,DensityBased
14.367763292,300,200,36,DensityBased
13.838199209000003,400,200,36,DensityBased
14.228609542000001,500,200,36,DensityBased
14.530082292000003,600,200,36,DensityBased
13.640788915999991,700,200,36,DensityBased
14.141955166999992,800,200,36,DensityBased
14.398532083000006,900,200,36,DensityBased
14.572591041999999,1000,200,36,DensityBased
71.172657083,100,200,36,PMCP_B
128.334361708,200,200,36,PMCP_B
180.10632483300003,300,200,36,PMCP_B
229.85371179200007,400,200,36,PMCP_B
273.948820458,500,200,36,PMCP_B
317.435799167,600,200,36,PMCP_B
345.60494500000004,700,200,36,PMCP_B
369.71210787500013,800,200,36,PMCP_B
393.8337101660002,900,200,36,PMCP_B
411.06019791699964,1000,200,36,PMCP_B
47.596819792,50,200,36,PMCP_B
65.67637479199999,75,200,36,PMCP_B
79.15803075,100,200,36,PMCP_B
94.53882608400002,125,200,36,PMCP_B
109.04147104200001,150,200,36,PMCP_B
123.54236850000001,175,200,36,PMCP_B
136.98376170799997,200,200,36,PMCP_B
150.709667125,225,200,36,PMCP_B
164.28643795799996,250,200,36,PMCP_B
177.86319550000007,275,200,36,PMCP_B
190.9528849579999,300,200,36,PMCP_B
215.202508667,350,200,36,PMCP_B
27.841479333,925,200,36,DensityBased
433.937721875,925,200,36,PMCP_B
28.463554708000004,950,200,36,DensityBased
435.73462549999994,950,200,36,PMCP_B
26.283867375,975,200,36,DensityBased
443.86233049999987,975,200,36,PMCP_B
27.300030417,325,200,36,DensityBased
209.94438458399998,325,200,36,PMCP_B
6.811707124999884,350,200,36,DensityBased
216.19426137499977,350,200,36,PMCP_B
29.207269250000536,375,200,36,DensityBased
232.40633725000043,375,200,36,PMCP_B
26.240698624998913,400,200,36,DensityBased
240.32482533300026,400,200,36,PMCP_B
22.005936375,100,100,70,DensityBased
486.04900362499995,100,100,70,PMCP_B
21.927949042000023,125,100,70,DensityBased
599.4252745419999,125,100,70,PMCP_B
24.01307524999993,150,100,70,DensityBased
721.6637894999999,150,100,70,PMCP_B
24.777257416999873,175,100,70,DensityBased
836.0292571669997,175,100,70,PMCP_B
25.365529166000215,200,100,70,DensityBased
948.0627478330002,200,100,70,PMCP_B
26.926730874999976,225,100,70,DensityBased
1162.4848228329997,225,100,70,PMCP_B
30.6721321670002,250,100,70,DensityBased
1303.0486089999995,250,100,70,PMCP_B
29.143578625000373,275,100,70,DensityBased
1303.3937798750003,275,100,70,PMCP_B
30.12038208300055,300,100,70,DensityBased
1411.3713285839995,300,100,70,PMCP_B
31.184794500000862,325,100,70,DensityBased
1532.2553249579996,325,100,70,PMCP_B
30.612466832999417,350,100,70,DensityBased
1640.3394425419992,350,100,70,PMCP_B
34.426177249999455,375,100,70,DensityBased
1761.1148337079994,375,100,70,PMCP_B
32.23476225000013,400,100,70,DensityBased
1935.6044754169998,400,100,70,PMCP_B
38.811753125000905,425,100,70,DensityBased
1955.3557166249993,425,100,70,PMCP_B
37.408931416000996,450,100,70,DensityBased
2092.093846708998,450,100,70,PMCP_B
39.13091041699954,475,100,70,DensityBased
2491.878811625,475,100,70,PMCP_B
43.06624858299983,500,100,70,DensityBased
2476.806065249999,500,100,70,PMCP_B
38.003075583998,525,100,70,DensityBased
2414.447244875002,525,100,70,PMCP_B
39.93089737500122,550,100,70,DensityBased
2511.7588026669982,550,100,70,PMCP_B
40.736419417000434,575,100,70,DensityBased
2611.541480041,575,100,70,PMCP_B
41.48110604099929,600,100,70,DensityBased
2717.753177792001,600,100,70,PMCP_B
31.059561583000004,400,200,36,DensityBased
244.76801249999997,400,200,36,PMCP_B
26.147032375000038,450,200,36,DensityBased
266.5009505830001,450,200,36,PMCP_B
27.000583915999982,500,200,36,DensityBased
289.574150334,500,200,36,PMCP_B
27.854549667000015,550,200,36,DensityBased
312.62898795800004,550,200,36,PMCP_B
26.827966792000097,600,200,36,DensityBased
328.1912789589999,600,200,36,PMCP_B
26.652445374999843,650,200,36,DensityBased
349.7034927080001,650,200,36,PMCP_B
26.794945291999966,700,200,36,DensityBased
369.096744917,700,200,36,PMCP_B
27.270911540999805,750,200,36,DensityBased
387.7936908329998,750,200,36,PMCP_B
28.88039341700005,800,200,36,DensityBased
401.4325036670002,800,200,36,PMCP_B
27.93862041700004,850,200,36,DensityBased
420.806192,850,200,36,PMCP_B
30.40459624999994,900,200,36,DensityBased
429.42665208300014,900,200,36,PMCP_B
2080.742950292,600,100,64,PMCP_B
19.880516832999998,50,75,100,DensityBased
695.852926458,50,75,100,PMCP_B
20.441342499999998,50,75,100,DensityBased
693.264789042,50,75,100,PMCP_B
21.48225587500019,100,75,100,DensityBased
1393.2889301670002,100,75,100,PMCP_B
24.93951045799986,150,75,100,DensityBased
2064.8606000420004,150,75,100,PMCP_B
12.846996708999999,150,75,100,DensityBased
2108.077134958,150,75,100,PMCP_B
14.627065874999971,200,75,100,DensityBased
2742.022430583,200,75,100,PMCP_B
13.91366887499953,250,75,100,DensityBased
3426.999138833001,250,75,100,PMCP_B
2679.5533628750004,600,100,70,PMCP_B
3119.646766542,700,100,70,PMCP_B
3522.093163458,800,100,70,PMCP_B
2668.8970532079998,600,100,70,PMCP_B
3099.6624067909997,700,100,70,PMCP_B
3484.0187642090004,800,100,70,PMCP_B
1368.9548659999998,100,75,100,PMCP_B
4094.900415125,300,75,100,PMCP_B
6721.2476693339995,500,75,100,PMCP_B
9357.421310916998,700,75,100,PMCP_B
11911.908961374997,900,75,100,PMCP_B
13148.797047458,1000,75,100,PMCP_B
3994.47893375,900,100,70,PMCP_B
4310.010818167,1000,100,70,PMCP_B
11.267020375,100,75,100,DensityBased
12.173790665999999,200,75,100,DensityBased
13.184920499999997,300,75,100,DensityBased
14.519615083000005,400,75,100,DensityBased
15.906831082999993,500,75,100,DensityBased
18.262944125000004,600,75,100,DensityBased
19.761179541000004,700,75,100,DensityBased
23.259651667,800,75,100,DensityBased
26.913065000000017,900,75,100,DensityBased
30.10384241699998,1000,75,100,DensityBased
1374.664035083,100,75,100,PMCP_B
6925.9862234580005,100,75,100,GARSUD
7288.673676042,200,75,100,GARSUD
8085.559870708999,300,75,100,GARSUD
8164.327825749999,400,75,100,GARSUD
8770.726843875,500,75,100,GARSUD
9272.258756000003,600,75,100,GARSUD
9171.942728458002,700,75,100,GARSUD
9619.560163959002,800,75,100,GARSUD
9992.803108374996,900,75,100,GARSUD
10437.205771875,1000,75,100,GARSUD
6514.828381333,100,100,70,GARSUD
7326.190403083,200,100,70,GARSUD
7732.722593874998,300,100,70,GARSUD
8023.451632625001,400,100,70,GARSUD
8328.49384675,500,100,70,GARSUD
8634.927718125,600,100,70,GARSUD
9131.997459791004,700,100,70,GARSUD
9611.346182834,800,100,70,GARSUD
9859.490544999993,900,100,70,GARSUD
10524.562801249995,1000,100,70,GARSUD
6779.757788459,100,200,36,GARSUD
7150.346545916,200,200,36,GARSUD
7828.596220292,300,200,36,GARSUD
7887.247304542001,400,200,36,GARSUD
8538.283973208003,500,200,36,GARSUD
8771.371807582997,600,200,36,GARSUD
9321.625896917001,700,200,36,GARSUD
10319.523806707999,800,200,36,GARSUD
10149.130492666998,900,200,36,GARSUD
10132.714285666996,1000,200,36,GARSUD
5359.0543491670005,400,75,100,PMCP_B
8032.877273124999,600,75,100,PMCP_B
10597.066391791,800,75,100,PMCP_B
