prep_disolv_time,prep_link_time,run_disolv_time,num_rsus,rsu_radius,grid_size,algorithm
8.309068084,0.8058841670000003,1.5010882919999986,100,75,100,DensityBased
8.183265541,0.888664207999998,1.9190763749999995,200,75,100,DensityBased
8.242414791999998,0.9483592500000029,2.1865857080000026,300,75,100,DensityBased
8.112924125,0.9998150829999943,2.494494291999999,400,75,100,DensityBased
8.159731499999992,1.0548245420000057,2.8159180829999997,500,75,100,DensityBased
8.182202583000006,1.148237917000003,3.204971499999999,600,75,100,DensityBased
8.455458500000006,1.2031791660000124,3.4525997500000045,700,75,100,DensityBased
8.367360458000007,1.2296192919999953,3.6145222920000037,800,75,100,DensityBased
9.005418458000008,1.4104384169999946,4.406655416000007,1000,75,100,DensityBased
8.933511084000001,0.7781264579999991,1.4576626249999993,100,100,70,DensityBased
7.954445583000002,0.8610264590000014,1.866497583000001,200,100,70,DensityBased
8.079301625,0.9110084169999979,2.0509330829999968,300,100,70,DensityBased
8.120037957999998,0.9847497920000023,2.4364396249999984,400,100,70,DensityBased
8.243992875000004,1.0318301669999954,2.6777067499999987,500,100,70,DensityBased
8.178073999999995,1.0833614999999952,2.9456948329999904,600,100,70,DensityBased
8.127978417000008,1.170890459000006,3.435429499999998,700,100,70,DensityBased
8.342439499999998,1.1864757919999818,3.4106674170000133,800,100,70,DensityBased
8.39325041699999,1.182349208000005,3.398414874999986,900,100,70,DensityBased
8.427137915999992,1.179009917000002,3.4159606659999895,1000,100,70,DensityBased
8.482067083,0.7246444590000003,1.341750832999999,100,200,36,DensityBased
8.751159959,0.7749365830000023,1.712617041999998,200,200,36,DensityBased
8.869222582999999,0.8162474169999996,1.8184316250000023,300,200,36,DensityBased
8.711757167000002,0.8085072920000016,1.8028527499999996,400,200,36,DensityBased
9.061076541999995,0.809509417000001,1.846543541999992,500,200,36,DensityBased
9.110906084000007,0.7990342499999912,1.913299166999991,600,200,36,DensityBased
8.304176583,0.819142250000013,1.8296797499999968,700,200,36,DensityBased
8.65304925000001,0.819683167000008,1.8433714159999965,800,200,36,DensityBased
8.685800125,0.8200250840000081,1.8318955420000123,900,200,36,DensityBased
8.774246250000004,0.8224819579999973,1.986002582999987,1000,200,36,DensityBased
8.270250332999993,0.7476631250000025,1.1669718330000052,100,200,36,PMCP_B
8.209653250000002,0.7686457920000009,1.4451860000000067,200,200,36,PMCP_B
8.275061499999993,0.7427682080000295,1.68034375000002,300,200,36,PMCP_B
8.559996374999969,0.8686173340000778,1.9230225830000336,400,200,36,PMCP_B
8.75511433400004,0.9525555000000168,2.277223083000081,500,200,36,PMCP_B
9.263359375000164,1.0432570830000714,2.6934873340001104,600,200,36,PMCP_B
8.43223583300005,1.1403825419999976,3.1023222090000218,700,200,36,PMCP_B
8.451360415999943,1.2026450420000856,3.5261019999998098,800,200,36,PMCP_B
8.609418958000333,1.2681636669999534,3.662295500000255,900,200,36,PMCP_B
8.578380625000136,1.3027888749998056,3.9489995419999104,1000,200,36,PMCP_B
9.09426379200022,0.8131137499999568,1.6168761250000898,600,100,70,PMCP_B
8.422630624999329,0.8033472500001153,1.7250742920004996,700,100,70,PMCP_B
8.604277666998314,0.8185837080000056,1.8907192919996305,800,100,70,PMCP_B
8.54867212499994,0.7909432909996212,1.6123847080002633,600,100,70,PMCP_B
8.49141495799995,0.8070540839999012,1.7253049999999348,700,100,70,PMCP_B
8.415589832999103,0.7792624590001651,1.874196540999037,800,100,70,PMCP_B
9.352716249999958,0.7214037499998085,1.0559714169999097,100,75,100,PMCP_B
8.96388237500014,0.727857915999266,1.1603718329997719,300,75,100,PMCP_B
8.65413879100015,0.7409366659994703,1.3090334170010465,500,75,100,PMCP_B
8.933797290999792,0.7598411670005589,1.5049829579984362,700,75,100,PMCP_B
9.414757708000252,0.7711409160037874,1.5455729589957627,900,75,100,PMCP_B
9.334071917000983,0.8206966669968097,1.6168203749984968,1000,75,100,PMCP_B
9.56003475000034,0.8608424580002065,1.9663645000000542,900,100,70,PMCP_B
8.797553999998854,0.8840198750003765,2.135997666999174,1000,100,70,PMCP_B
8.7537345,0.7441663749999989,1.3559883750000008,100,100,70,GARSUD
8.866109166000001,0.7488926659999997,1.333849665999999,100,100,70,GARSUD
8.718706749999999,0.7548783750000005,1.339728417,100,100,70,GARSUD
10.777128125,0.7383508329999984,1.408406417000002,100,100,70,GARSUD
9.524133917,0.7317680840000023,1.311950084000003,100,100,70,GARSUD
9.710226459000005,0.7474583330000044,1.3518398329999997,100,100,70,GARSUD
8.779525167000003,0.7305548329999993,1.292747165999998,100,100,70,GARSUD
8.405900792000011,0.7365077500000012,1.3221204169999936,100,100,70,GARSUD
8.799441166999998,0.739721000000003,1.2862256669999965,100,100,70,GARSUD
8.807151375000004,0.7401590000000056,1.326466332999999,100,100,70,GARSUD
8.826346458000003,0.7392360000000053,1.321354624999998,100,100,70,GARSUD
8.82279491700001,0.7424386250000055,1.3123316669999952,100,100,70,GARSUD
8.271376999999987,0.7342617079999911,1.2877527079999993,100,100,70,GARSUD
