x,y
492.52,2767.16
496.91,2032.35
500.28,3388.51
501.06,1145.65
502.7,3851.18
502.74,2052.91
503.47,3811.61
503.5,2392.28
504.92,2395.96
504.98,4030.02
505.06,3812.54
506.0,2399.81
507.24,736.28
507.72,2430.01
508.56,3816.12
509.13,366.24
509.23,1149.69
509.98,2394.17
510.0,736.8
510.15,744.34
510.17,1523.82
510.9,2487.09
511.23,741.4
512.82,3819.72
513.12,738.71
513.4,3723.97
513.95,2795.49
514.27,1459.12
514.43,2052.01
514.83,3103.88
514.96,3561.29
515.58,735.78
515.95,1509.58
516.36,740.62
516.52,733.06
517.39,3109.94
517.74,1451.26
518.0,2792.35
518.04,2467.33
519.21,129.32
519.23,741.18
520.53,2031.42
520.58,2791.09
522.1,2789.25
522.35,4056.79
523.36,3263.77
524.51,1231.4
526.16,1407.07
528.61,3729.52
532.55,3134.8
533.13,2775.21
534.44,2773.51
536.52,1409.37
536.69,2628.15
537.03,151.9
537.09,2772.26
538.56,534.1
538.9,2771.51
540.72,1410.84
542.86,1405.06
543.95,1412.05
544.04,4093.49
544.46,537.16
544.6,1419.45
545.18,3712.8
545.84,1413.52
546.65,3522.0
546.87,3719.88
546.99,3527.69
547.58,3694.45
549.63,4041.08
549.87,1414.34
551.04,2620.42
551.7,636.95
552.36,4039.5
554.04,645.2
554.2,4109.9
554.49,637.77
555.19,642.42
556.3,4113.16
556.41,3731.96
557.39,639.8
559.12,2049.56
559.86,1416.57
559.87,637.04
560.36,641.94
560.43,2678.04
560.89,634.43
562.13,2575.28
563.11,642.69
563.98,4124.61
564.21,2743.06
566.58,2739.36
570.1,2931.22
570.69,1313.05
571.44,3351.68
571.64,2656.42
576.76,3234.81
577.58,2730.51
581.33,2648.12
586.34,1253.0
586.64,3485.07
586.82,3482.64
587.45,3228.79
589.57,572.28
590.7,569.66
592.46,4167.38
592.96,567.19
593.5,441.3
593.89,2711.05
594.81,1286.35
595.08,443.84
595.43,564.57
595.77,2713.2
596.46,562.02
598.38,3651.82
600.28,2723.04
604.87,2751.28
604.93,2912.92
607.88,1185.75
608.82,3037.94
611.25,243.19
613.39,247.14
613.62,1200.28
615.95,251.58
616.08,765.6
618.3,767.03
618.77,4000.46
620.95,768.92
622.25,768.99
631.25,2670.34
631.3,1210.18
631.47,2890.71
633.2,485.46
634.45,482.58
635.27,3438.16
637.07,479.56
637.69,2666.86
